Title,Actors
The Last Face,Charlize Theron
The Last Face,Javier Bardem
The Last Face,"Adèle Exarchopoulos,Jared Harris"
Star Wars: Episode VII - The Force Awakens,Daisy Ridley
Star Wars: Episode VII - The Force Awakens,John Boyega
Star Wars: Episode VII - The Force Awakens,Oscar Isaac
Star Wars: Episode VII - The Force Awakens,Domhnall Gleeson
Underworld: Blood Wars,Kate Beckinsale
Underworld: Blood Wars,Theo James
Underworld: Blood Wars,Tobias Menzies
Underworld: Blood Wars,Lara Pulver
Mother's Day,Jennifer Aniston
Mother's Day,Kate Hudson
Mother's Day,Julia Roberts
Mother's Day,Jason Sudeikis
John Wick,Keanu Reeves
John Wick,Michael Nyqvist
John Wick,Alfie Allen
John Wick,Willem Dafoe
The Dark Knight,Christian Bale
The Dark Knight,Heath Ledger
The Dark Knight,"Aaron Eckhart,Michael Caine"
Silence,Andrew Garfield
Silence,Adam Driver
Silence,"Liam Neeson,Tadanobu Asano"
Don't Breathe,Stephen Lang
Don't Breathe,Jane Levy
Don't Breathe,Dylan Minnette
Don't Breathe,Daniel Zovatto
Me Before You,Emilia Clarke
Me Before You,Sam Claflin
Me Before You,Janet McTeer
Me Before You,Charles Dance
Their Finest,Gemma Arterton
Their Finest,Sam Claflin
Their Finest,Bill Nighy
Their Finest,Jack Huston
Sully,Tom Hanks
Sully,Aaron Eckhart
Sully,Laura Linney
Sully,Valerie Mahaffey
Batman v Superman: Dawn of Justice,Ben Affleck
Batman v Superman: Dawn of Justice,Henry Cavill
Batman v Superman: Dawn of Justice,Amy Adams
Batman v Superman: Dawn of Justice,Jesse Eisenberg
The Autopsy of Jane Doe,Brian Cox
The Autopsy of Jane Doe,Emile Hirsch
The Autopsy of Jane Doe,Ophelia Lovibond
The Autopsy of Jane Doe,Michael McElhatton
The Girl on the Train,Emily Blunt
The Girl on the Train,Haley Bennett
The Girl on the Train,Rebecca Ferguson
The Girl on the Train,Justin Theroux
Fifty Shades of Grey,Dakota Johnson
Fifty Shades of Grey,Jamie Dornan
Fifty Shades of Grey,"Jennifer Ehle,Eloise Mumford"
The Prestige,Christian Bale
The Prestige,Hugh Jackman
The Prestige,Scarlett Johansson
The Prestige,Michael Caine
Kingsman: The Secret Service,Colin Firth
Kingsman: The Secret Service,Taron Egerton
Kingsman: The Secret Service,"Samuel L. Jackson,Michael Caine"
Patriots Day,Mark Wahlberg
Patriots Day,Michelle Monaghan
Patriots Day,J.K. Simmons
Patriots Day,John Goodman
Mad Max: Fury Road,Tom Hardy
Mad Max: Fury Road,Charlize Theron
Mad Max: Fury Road,Nicholas Hoult
Mad Max: Fury Road,Zoë Kravitz
Wakefield,Bryan Cranston
Wakefield,Jennifer Garner
Wakefield,"Beverly D'Angelo,Jason O'Mara"
Deepwater Horizon,Mark Wahlberg
Deepwater Horizon,Kurt Russell
Deepwater Horizon,Douglas M. Griffin
Deepwater Horizon,James DuMont
The Promise,Oscar Isaac
The Promise,Charlotte Le Bon
The Promise,Christian Bale
The Promise,Daniel Giménez Cacho
Allied,Brad Pitt
Allied,Marion Cotillard
Allied,Jared Harris
Allied,Vincent Ebrahim
A Monster Calls,Lewis MacDougall
