Title,Actors
Bridesmaids,Kristen Wiig
Bridesmaids,Maya Rudolph
Bridesmaids,Rose Byrne
Bridesmaids,Terry Crews
The Girl with All the Gifts,Gemma Arterton
The Girl with All the Gifts,Glenn Close
The Girl with All the Gifts,"Dominique Tipper,Paddy Considine"
San Andreas,Dwayne Johnson
San Andreas,Carla Gugino
San Andreas,"Alexandra Daddario,Colton Haynes"
Spring Breakers,Vanessa Hudgens
Spring Breakers,Selena Gomez
Spring Breakers,"Ashley Benson,Rachel Korine"
Transformers,Shia LaBeouf
Transformers,Megan Fox
Transformers,Josh Duhamel
Transformers,Tyrese Gibson
Old Boy,Josh Brolin
Old Boy,Elizabeth Olsen
Old Boy,Samuel L. Jackson
Old Boy,Sharlto Copley
Thor: The Dark World,Chris Hemsworth
Thor: The Dark World,Natalie Portman
Thor: The Dark World,"Tom Hiddleston,Stellan Skarsgård"
Gods of Egypt,Brenton Thwaites
Gods of Egypt,Nikolaj Coster-Waldau
Gods of Egypt,Gerard Butler
Gods of Egypt,Chadwick Boseman
Captain America: The Winter Soldier,Chris Evans
Captain America: The Winter Soldier,"Samuel L. Jackson,Scarlett Johansson"
Captain America: The Winter Soldier,Robert Redford
Monster Trucks,Lucas Till
Monster Trucks,Jane Levy
Monster Trucks,Thomas Lennon
Monster Trucks,Barry Pepper
A Dark Song,Mark Huberman
A Dark Song,Susan Loughnane
A Dark Song,"Steve Oram,Catherine Walker"
Kick-Ass,Aaron Taylor-Johnson
Kick-Ass,Nicolas Cage
Kick-Ass,Chloë Grace Moretz
Kick-Ass,Garrett M. Brown
Hardcore Henry,Sharlto Copley
Hardcore Henry,Tim Roth
Hardcore Henry,Haley Bennett
Hardcore Henry,Danila Kozlovsky
Cars,Owen Wilson
Cars,Bonnie Hunt
Cars,Paul Newman
Cars,Larry the Cable Guy
It Follows,Maika Monroe
It Follows,Keir Gilchrist
It Follows,"Olivia Luccardi,Lili Sepe"
The Girl with the Dragon Tattoo,Daniel Craig
The Girl with the Dragon Tattoo,Rooney Mara
The Girl with the Dragon Tattoo,"Christopher Plummer,Stellan Skarsgård"
We're the Millers,Jason Sudeikis
We're the Millers,Jennifer Aniston
We're the Millers,Emma Roberts
We're the Millers,Ed Helms
American Honey,Sasha Lane
American Honey,Shia LaBeouf
American Honey,Riley Keough
American Honey,McCaul Lombardi
The Lobster,Colin Farrell
The Lobster,Rachel Weisz
The Lobster,"Jessica Barden,Olivia Colman"
Predators,Adrien Brody
Predators,Laurence Fishburne
Predators,"Topher Grace,Alice Braga"
Maleficent,Angelina Jolie
Maleficent,Elle Fanning
Maleficent,"Sharlto Copley,Lesley Manville"
Rupture,Noomi Rapace
Rupture,Michael Chiklis
Rupture,"Kerry Bishé,Peter Stormare"
Pan's Labyrinth,Ivana Baquero
Pan's Labyrinth,Ariadna Gil
Pan's Labyrinth,"Sergi López,Maribel Verdú"
A Kind of Murder,Patrick Wilson
A Kind of Murder,Jessica Biel
A Kind of Murder,Haley Bennett
A Kind of Murder,Vincent Kartheiser
Apocalypto,Gerardo Taracena
Apocalypto,Raoul Max Trujillo
Apocalypto,"Dalia Hernández,Rudy Youngblood"
Mission: Impossible - Rogue Nation,Tom Cruise
Mission: Impossible - Rogue Nation,Rebecca Ferguson
Mission: Impossible - Rogue Nation,Jeremy Renner
Mission: Impossible - Rogue Nation,Simon Pegg
The Huntsman: Winter's War,Chris Hemsworth
The Huntsman: Winter's War,Jessica Chastain
The Huntsman: Winter's War,Charlize Theron
The Huntsman: Winter's War,Emily Blunt
The Perks of Being a Wallflower,Logan Lerman
The Perks of Being a Wallflower,Emma Watson
The Perks of Being a Wallflower,Ezra Miller
The Perks of Being a Wallflower,Paul Rudd
Jackie,Natalie Portman
Jackie,Peter Sarsgaard
Jackie,"Greta Gerwig,Billy Crudup"
The Disappointments Room,Kate Beckinsale
The Disappointments Room,Mel Raido
The Disappointments Room,Duncan Joiner
The Disappointments Room,Lucas Till
The Grand Budapest Hotel,Ralph Fiennes
The Grand Budapest Hotel,F. Murray Abraham
The Grand Budapest Hotel,"Mathieu Amalric,Adrien Brody"
The Host,Saoirse Ronan
The Host,Max Irons
The Host,Jake Abel
The Host,Diane Kruger
Fury,Brad Pitt
Fury,Shia LaBeouf
Fury,Logan Lerman
Fury,Michael Peña
Inside Out,Amy Poehler
Inside Out,Bill Hader
Inside Out,Lewis Black
Inside Out,Mindy Kaling
Rock Dog,Luke Wilson
Rock Dog,Eddie Izzard
Rock Dog,J.K. Simmons
Rock Dog,Lewis Black
Terminator Genisys,Arnold Schwarzenegger
Terminator Genisys,Jason Clarke
Terminator Genisys,"Emilia Clarke,Jai Courtney"
Percy Jackson & the Olympians: The Lightning Thief,Logan Lerman
Percy Jackson & the Olympians: The Lightning Thief,Kevin McKidd
Percy Jackson & the Olympians: The Lightning Thief,"Steve Coogan,Brandon T. Jackson"
Les Misérables,Hugh Jackman
Les Misérables,Russell Crowe
Les Misérables,"Anne Hathaway,Amanda Seyfried"
Children of Men,Julianne Moore
Children of Men,Clive Owen
Children of Men,"Chiwetel Ejiofor,Michael Caine"
20th Century Women,Annette Bening
20th Century Women,Elle Fanning
20th Century Women,Greta Gerwig
20th Century Women,Billy Crudup
Spy,Melissa McCarthy
Spy,Rose Byrne
Spy,Jude Law
Spy,Jason Statham
The Intouchables,François Cluzet
The Intouchables,Omar Sy
The Intouchables,Anne Le Ny
The Intouchables,Audrey Fleurot
Bonjour Anne,Diane Lane
Bonjour Anne,Alec Baldwin
Bonjour Anne,Arnaud Viard
Bonjour Anne,Linda Gegusch
Kynodontas,Christos Stergioglou
Kynodontas,Michele Valley
Kynodontas,Angeliki Papoulia
Kynodontas,Hristos Passalis
Straight Outta Compton,O'Shea Jackson Jr.
Straight Outta Compton,Corey Hawkins
Straight Outta Compton,"Jason Mitchell,Neil Brown Jr."
The Amazing Spider-Man 2,Andrew Garfield
The Amazing Spider-Man 2,Emma Stone
The Amazing Spider-Man 2,Jamie Foxx
The Amazing Spider-Man 2,Paul Giamatti
The Conjuring,Patrick Wilson
The Conjuring,Vera Farmiga
The Conjuring,Ron Livingston
The Conjuring,Lili Taylor
The Hangover,Zach Galifianakis
The Hangover,Bradley Cooper
The Hangover,Justin Bartha
The Hangover,Ed Helms
Battleship,Alexander Skarsgård
Battleship,Brooklyn Decker
Battleship,"Liam Neeson,Rihanna"
Rise of the Planet of the Apes,James Franco
Rise of the Planet of the Apes,Andy Serkis
Rise of the Planet of the Apes,Freida Pinto
Rise of the Planet of the Apes,Karin Konoval
Lights Out,Teresa Palmer
Lights Out,Gabriel Bateman
Lights Out,"Maria Bello,Billy Burke"
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Richard Gere
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Lior Ashkenazi
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,"Michael Sheen,Charlotte Gainsbourg"
Birdman or (The Unexpected Virtue of Ignorance),Michael Keaton
Birdman or (The Unexpected Virtue of Ignorance),"Zach Galifianakis,Edward Norton"
Birdman or (The Unexpected Virtue of Ignorance),Andrea Riseborough
Black Swan,Natalie Portman
Black Swan,Mila Kunis
Black Swan,"Vincent Cassel,Winona Ryder"
Dear White People,Tyler James Williams
Dear White People,Tessa Thompson
Dear White People,"Kyle Gallner,Teyonah Parris"
Nymphomaniac: Vol. I,Charlotte Gainsbourg
Nymphomaniac: Vol. I,Stellan Skarsgård
Nymphomaniac: Vol. I,Stacy Martin
Nymphomaniac: Vol. I,Shia LaBeouf
Teenage Mutant Ninja Turtles: Out of the Shadows,Megan Fox
Teenage Mutant Ninja Turtles: Out of the Shadows,Will Arnett
Teenage Mutant Ninja Turtles: Out of the Shadows,Tyler Perry
Teenage Mutant Ninja Turtles: Out of the Shadows,Laura Linney
Knock Knock,Keanu Reeves
Knock Knock,Lorenza Izzo
Knock Knock,Ana de Armas
Knock Knock,Aaron Burns
Dirty Grandpa,Robert De Niro
Dirty Grandpa,Zac Efron
Dirty Grandpa,Zoey Deutch
Dirty Grandpa,Aubrey Plaza
Cloud Atlas,Tom Hanks
Cloud Atlas,Halle Berry
Cloud Atlas,Hugh Grant
Cloud Atlas,Hugo Weaving
X-Men Origins: Wolverine,Hugh Jackman
X-Men Origins: Wolverine,Liev Schreiber
X-Men Origins: Wolverine,Ryan Reynolds
X-Men Origins: Wolverine,Danny Huston
Satanic,Sarah Hyland
Satanic,Steven Krueger
Satanic,Justin Chon
Satanic,Clara Mamet
Skyfall,Daniel Craig
Skyfall,Javier Bardem
Skyfall,Naomie Harris
Skyfall,Judi Dench
The Hobbit: An Unexpected Journey,Martin Freeman
The Hobbit: An Unexpected Journey,Ian McKellen
The Hobbit: An Unexpected Journey,"Richard Armitage,Andy Serkis"
21 Jump Street,Jonah Hill
21 Jump Street,Channing Tatum
21 Jump Street,"Ice Cube,Brie Larson"
Sing Street,Ferdia Walsh-Peelo
Sing Street,Aidan Gillen
Sing Street,Maria Doyle Kennedy
Sing Street,Jack Reynor
Ballerina,Elle Fanning
Ballerina,Dane DeHaan
Ballerina,Carly Rae Jepsen
Ballerina,Maddie Ziegler
Oblivion,Tom Cruise
Oblivion,Morgan Freeman
Oblivion,Andrea Riseborough
Oblivion,Olga Kurylenko
22 Jump Street,Channing Tatum
22 Jump Street,Jonah Hill
22 Jump Street,"Ice Cube,Nick Offerman"
Zodiac,Jake Gyllenhaal
Zodiac,Robert Downey Jr.
Zodiac,"Mark Ruffalo,Anthony Edwards"
Everybody Wants Some!!,Blake Jenner
Everybody Wants Some!!,Tyler Hoechlin
Everybody Wants Some!!,"Ryan Guzman,Zoey Deutch"
Iron Man Three,Robert Downey Jr.
Iron Man Three,Guy Pearce
Iron Man Three,"Gwyneth Paltrow,Don Cheadle"
Now You See Me,Jesse Eisenberg
Now You See Me,Common
Now You See Me,Mark Ruffalo
Now You See Me,Woody Harrelson
Sherlock Holmes,Robert Downey Jr.
Sherlock Holmes,Jude Law
Sherlock Holmes,Rachel McAdams
Sherlock Holmes,Mark Strong
Death Proof,Kurt Russell
Death Proof,Zoë Bell
Death Proof,Rosario Dawson
Death Proof,Vanessa Ferlito
The Danish Girl,Eddie Redmayne
The Danish Girl,Alicia Vikander
The Danish Girl,Amber Heard
The Danish Girl,Ben Whishaw
Hercules,Dwayne Johnson
Hercules,John Hurt
Hercules,Ian McShane
Hercules,Joseph Fiennes
Sucker Punch,Emily Browning
Sucker Punch,Vanessa Hudgens
Sucker Punch,"Abbie Cornish,Jena Malone"
Keeping Up with the Joneses,Zach Galifianakis
Keeping Up with the Joneses,Isla Fisher
Keeping Up with the Joneses,Jon Hamm
Keeping Up with the Joneses,Gal Gadot
Jupiter Ascending,Channing Tatum
Jupiter Ascending,"Mila Kunis,Eddie Redmayne"
Jupiter Ascending,Sean Bean
Masterminds,Zach Galifianakis
Masterminds,Kristen Wiig
Masterminds,Owen Wilson
Masterminds,Ross Kimball
Iris,Romain Duris
Iris,Charlotte Le Bon
Iris,Jalil Lespert
Iris,Camille Cottin
Busanhaeng,Yoo Gong
Busanhaeng,Soo-an Kim
Busanhaeng,Yu-mi Jung
Busanhaeng,Dong-seok Ma
Pitch Perfect,Anna Kendrick
Pitch Perfect,Brittany Snow
Pitch Perfect,Rebel Wilson
Pitch Perfect,Anna Camp
Neighbors 2: Sorority Rising,Seth Rogen
Neighbors 2: Sorority Rising,Rose Byrne
Neighbors 2: Sorority Rising,Zac Efron
Neighbors 2: Sorority Rising,Chloë Grace Moretz
The Exception,Lily James
The Exception,Jai Courtney
The Exception,Christopher Plummer
The Exception,Loïs van Wijk
Man of Steel,Henry Cavill
Man of Steel,Amy Adams
Man of Steel,Michael Shannon
Man of Steel,Diane Lane
The Choice,Benjamin Walker
The Choice,Teresa Palmer
The Choice,"Alexandra Daddario,Maggie Grace"
Ice Age: Collision Course,Ray Romano
Ice Age: Collision Course,Denis Leary
Ice Age: Collision Course,John Leguizamo
Ice Age: Collision Course,Chris Wedge
The Devil Wears Prada,Anne Hathaway
The Devil Wears Prada,Meryl Streep
The Devil Wears Prada,Adrian Grenier
The Devil Wears Prada,Emily Blunt
The Infiltrator,Bryan Cranston
The Infiltrator,John Leguizamo
The Infiltrator,Diane Kruger
The Infiltrator,Amy Ryan
There Will Be Blood,Daniel Day-Lewis
There Will Be Blood,Paul Dano
There Will Be Blood,"Ciarán Hinds,Martin Stringer"
The Equalizer,Denzel Washington
The Equalizer,Marton Csokas
The Equalizer,Chloë Grace Moretz
The Equalizer,David Harbour
Lone Survivor,Mark Wahlberg
Lone Survivor,Taylor Kitsch
Lone Survivor,Emile Hirsch
Lone Survivor,Ben Foster
The Cabin in the Woods,Kristen Connolly
The Cabin in the Woods,Chris Hemsworth
The Cabin in the Woods,"Anna Hutchison,Fran Kranz"
The House Bunny,Anna Faris
The House Bunny,Colin Hanks
The House Bunny,Emma Stone
The House Bunny,Kat Dennings
She's Out of My League,Jay Baruchel
She's Out of My League,Alice Eve
She's Out of My League,T.J. Miller
She's Out of My League,Mike Vogel
Inherent Vice,Joaquin Phoenix
Inherent Vice,Josh Brolin
Inherent Vice,"Owen Wilson,Katherine Waterston"
Alice Through the Looking Glass,Mia Wasikowska
Alice Through the Looking Glass,Johnny Depp
Alice Through the Looking Glass,Helena Bonham Carter
Alice Through the Looking Glass,Anne Hathaway
Vincent N Roxxy,Emile Hirsch
Vincent N Roxxy,Zoë Kravitz
Vincent N Roxxy,"Zoey Deutch,Emory Cohen"
The Fast and the Furious: Tokyo Drift,Lucas Black
The Fast and the Furious: Tokyo Drift,Zachery Ty Bryan
The Fast and the Furious: Tokyo Drift,Shad Moss
The Fast and the Furious: Tokyo Drift,Damien Marzette
How to Be Single,Dakota Johnson
How to Be Single,Rebel Wilson
How to Be Single,Leslie Mann
How to Be Single,Alison Brie
The Blind Side,Quinton Aaron
The Blind Side,Sandra Bullock
The Blind Side,"Tim McGraw,Jae Head"
La vie d'Adèle,Léa Seydoux
La vie d'Adèle,Adèle Exarchopoulos
La vie d'Adèle,Salim Kechiouche
La vie d'Adèle,Aurélien Recoing
The Babadook,Essie Davis
The Babadook,Noah Wiseman
The Babadook,Daniel Henshall
The Babadook,Hayley McElhinney
The Hobbit: The Battle of the Five Armies,Ian McKellen
The Hobbit: The Battle of the Five Armies,Martin Freeman
The Hobbit: The Battle of the Five Armies,"Richard Armitage,Cate Blanchett"
Harry Potter and the Order of the Phoenix,Daniel Radcliffe
Harry Potter and the Order of the Phoenix,Emma Watson
Harry Potter and the Order of the Phoenix,Rupert Grint
Harry Potter and the Order of the Phoenix,Brendan Gleeson
Snowpiercer,Chris Evans
Snowpiercer,Jamie Bell
Snowpiercer,Tilda Swinton
Snowpiercer,Ed Harris
The 5th Wave,Chloë Grace Moretz
The 5th Wave,Matthew Zuk
The 5th Wave,"Gabriela Lopez,Bailey Anne Borders"
The Stakelander,Connor Paolo
The Stakelander,Nick Damici
The Stakelander,Laura Abramsen
The Stakelander,A.C. Peterson
The Visit,Olivia DeJonge
The Visit,Ed Oxenbould
The Visit,Deanna Dunagan
The Visit,Peter McRobbie
Fast Five,Vin Diesel
Fast Five,Paul Walker
Fast Five,Dwayne Johnson
Fast Five,Jordana Brewster
Step Up,Channing Tatum
Step Up,Jenna Dewan Tatum
Step Up,Damaine Radcliff
Step Up,De'Shawn Washington
Lovesong,Riley Keough
Lovesong,Jena Malone
Lovesong,Jessie Ok Gray
Lovesong,Cary Joji Fukunaga
RocknRolla,Gerard Butler
RocknRolla,Tom Wilkinson
RocknRolla,Idris Elba
RocknRolla,Thandie Newton
In Time,Justin Timberlake
In Time,Amanda Seyfried
In Time,"Cillian Murphy,Olivia Wilde"
The Social Network,Jesse Eisenberg
The Social Network,Andrew Garfield
The Social Network,"Justin Timberlake,Rooney Mara"
The Last Witch Hunter,Vin Diesel
The Last Witch Hunter,Rose Leslie
The Last Witch Hunter,Elijah Wood
The Last Witch Hunter,Ólafur Darri Ólafsson
Victor Frankenstein,Daniel Radcliffe
Victor Frankenstein,James McAvoy
Victor Frankenstein,Jessica Brown Findlay
Victor Frankenstein,Andrew Scott
A Street Cat Named Bob,Luke Treadaway
A Street Cat Named Bob,Bob the Cat
A Street Cat Named Bob,Ruta Gedmintas
A Street Cat Named Bob,Joanne Froggatt
Green Room,Anton Yelchin
Green Room,Imogen Poots
Green Room,"Alia Shawkat,Patrick Stewart"
Blackhat,Chris Hemsworth
Blackhat,Viola Davis
Blackhat,Wei Tang
Blackhat,Leehom Wang
Storks,Andy Samberg
Storks,"Katie Crown,Kelsey Grammer"
Storks,Jennifer Aniston
American Sniper,Bradley Cooper
American Sniper,Sienna Miller
American Sniper,Kyle Gallner
American Sniper,Cole Konis
Dallas Buyers Club,Matthew McConaughey
Dallas Buyers Club,Jennifer Garner
Dallas Buyers Club,Jared Leto
Dallas Buyers Club,Steve Zahn
Lincoln,Daniel Day-Lewis
Lincoln,Sally Field
Lincoln,"David Strathairn,Joseph Gordon-Levitt"
Rush,Daniel Brühl
Rush,Chris Hemsworth
Rush,"Olivia Wilde,Alexandra Maria Lara"
Before I Wake,Kate Bosworth
Before I Wake,Thomas Jane
Before I Wake,"Jacob Tremblay,Annabeth Gish"
Silver Linings Playbook,Bradley Cooper
Silver Linings Playbook,Jennifer Lawrence
Silver Linings Playbook,Robert De Niro
Silver Linings Playbook,Jacki Weaver
Tracktown,Alexi Pappas
Tracktown,Chase Offerle
Tracktown,Rachel Dratch
Tracktown,Andy Buckley
The Fault in Our Stars,Shailene Woodley
The Fault in Our Stars,Ansel Elgort
The Fault in Our Stars,Nat Wolff
The Fault in Our Stars,Laura Dern
Blended,Adam Sandler
Blended,Drew Barrymore
Blended,Wendi McLendon-Covey
Blended,Kevin Nealon
Fast & Furious,Vin Diesel
Fast & Furious,Paul Walker
Fast & Furious,Michelle Rodriguez
Fast & Furious,Jordana Brewster
Looper,Joseph Gordon-Levitt
Looper,Bruce Willis
Looper,Emily Blunt
Looper,Paul Dano
White House Down,Channing Tatum
White House Down,Jamie Foxx
White House Down,"Maggie Gyllenhaal,Jason Clarke"
Pete's Dragon,Bryce Dallas Howard
Pete's Dragon,Robert Redford
Pete's Dragon,"Oakes Fegley,Oona Laurence"
Spider-Man 3,Tobey Maguire
Spider-Man 3,Kirsten Dunst
Spider-Man 3,Topher Grace
Spider-Man 3,Thomas Haden Church
The Three Musketeers,Logan Lerman
The Three Musketeers,Matthew Macfadyen
The Three Musketeers,Ray Stevenson
The Three Musketeers,Milla Jovovich
Stardust,Charlie Cox
Stardust,Claire Danes
Stardust,Sienna Miller
Stardust,Ian McKellen
American Hustle,Christian Bale
American Hustle,Amy Adams
American Hustle,"Bradley Cooper,Jennifer Lawrence"
Jennifer's Body,Megan Fox
Jennifer's Body,Amanda Seyfried
Jennifer's Body,Adam Brody
Jennifer's Body,Johnny Simmons
Midnight in Paris,Owen Wilson
Midnight in Paris,Rachel McAdams
Midnight in Paris,Kathy Bates
Midnight in Paris,Kurt Fuller
Lady Macbeth,Florence Pugh
Lady Macbeth,Christopher Fairbank
Lady Macbeth,Cosmo Jarvis
Lady Macbeth,Naomi Ackie
Joy,Jennifer Lawrence
Joy,Robert De Niro
Joy,Bradley Cooper
Joy,Edgar Ramírez
The Dressmaker,Kate Winslet
The Dressmaker,Judy Davis
The Dressmaker,"Liam Hemsworth,Hugo Weaving"
Café Society,Jesse Eisenberg
Café Society,Kristen Stewart
Café Society,Steve Carell
Café Society,Blake Lively
Insurgent,Shailene Woodley
Insurgent,Ansel Elgort
Insurgent,"Theo James,Kate Winslet"
Seventh Son,Ben Barnes
Seventh Son,Julianne Moore
Seventh Son,Jeff Bridges
Seventh Son,Alicia Vikander
Demain tout commence,Omar Sy
Demain tout commence,Clémence Poésy
Demain tout commence,Antoine Bertrand
Demain tout commence,Ashley Walters
The Theory of Everything,Eddie Redmayne
The Theory of Everything,Felicity Jones
The Theory of Everything,Tom Prior
The Theory of Everything,Sophie Perry
This Is the End,James Franco
This Is the End,Jonah Hill
This Is the End,"Seth Rogen,Jay Baruchel"
About Time,Domhnall Gleeson
About Time,Rachel McAdams
About Time,"Bill Nighy,Lydia Wilson"
Step Brothers,Will Ferrell
Step Brothers,John C. Reilly
Step Brothers,"Mary Steenburgen,Richard Jenkins"
Clown,Andy Powers
Clown,Laura Allen
Clown,Peter Stormare
Clown,Christian Distefano
Star Trek Into Darkness,Chris Pine
Star Trek Into Darkness,Zachary Quinto
Star Trek Into Darkness,Zoe Saldana
Star Trek Into Darkness,Benedict Cumberbatch
Zombieland,Jesse Eisenberg
Zombieland,Emma Stone
Zombieland,"Woody Harrelson,Abigail Breslin"
"Hail, Caesar!",Josh Brolin
"Hail, Caesar!",George Clooney
"Hail, Caesar!",Alden Ehrenreich
"Hail, Caesar!",Ralph Fiennes
Slumdog Millionaire,Dev Patel
Slumdog Millionaire,Freida Pinto
Slumdog Millionaire,Saurabh Shukla
Slumdog Millionaire,Anil Kapoor
The Twilight Saga: Breaking Dawn - Part 2,Kristen Stewart
The Twilight Saga: Breaking Dawn - Part 2,Robert Pattinson
The Twilight Saga: Breaking Dawn - Part 2,Taylor Lautner
The Twilight Saga: Breaking Dawn - Part 2,Peter Facinelli
American Wrestler: The Wizard,William Fichtner
American Wrestler: The Wizard,Jon Voight
American Wrestler: The Wizard,"Lia Marie Johnson,Gabriel Basso"
The Amazing Spider-Man,Andrew Garfield
The Amazing Spider-Man,Emma Stone
The Amazing Spider-Man,Rhys Ifans
The Amazing Spider-Man,Irrfan Khan
Ben-Hur,Jack Huston
Ben-Hur,Toby Kebbell
Ben-Hur,"Rodrigo Santoro,Nazanin Boniadi"
Sleight,Jacob Latimore
Sleight,Seychelle Gabriel
Sleight,Dulé Hill
Sleight,Storm Reid
The Maze Runner,Dylan O'Brien
The Maze Runner,Kaya Scodelario
The Maze Runner,Will Poulter
The Maze Runner,Thomas Brodie-Sangster
Criminal,Kevin Costner
Criminal,Ryan Reynolds
Criminal,Gal Gadot
Criminal,Gary Oldman
Wanted,Angelina Jolie
Wanted,James McAvoy
Wanted,Morgan Freeman
Wanted,Terence Stamp
Florence Foster Jenkins,Meryl Streep
Florence Foster Jenkins,Hugh Grant
Florence Foster Jenkins,Simon Helberg
Florence Foster Jenkins,Rebecca Ferguson
Collide,Nicholas Hoult
Collide,Felicity Jones
Collide,Anthony Hopkins
Collide,Ben Kingsley
Black Mass,Johnny Depp
Black Mass,Benedict Cumberbatch
Black Mass,Dakota Johnson
Black Mass,Joel Edgerton
Creed,Michael B. Jordan
Creed,Sylvester Stallone
Creed,Tessa Thompson
Creed,Phylicia Rashad
Swiss Army Man,Paul Dano
Swiss Army Man,Daniel Radcliffe
Swiss Army Man,Mary Elizabeth Winstead
Swiss Army Man,Antonia Ribero
The Expendables 3,Sylvester Stallone
The Expendables 3,Jason Statham
The Expendables 3,Jet Li
The Expendables 3,Antonio Banderas
What We Do in the Shadows,Jemaine Clement
What We Do in the Shadows,"Taika Waititi,Cori Gonzalez-Macuer"
What We Do in the Shadows,Jonny Brugh
Southpaw,Jake Gyllenhaal
Southpaw,Rachel McAdams
Southpaw,"Oona Laurence,Forest Whitaker"
Hush,John Gallagher Jr.
Hush,Kate Siegel
Hush,"Michael Trucco,Samantha Sloyan"
Bridge of Spies,Tom Hanks
Bridge of Spies,Mark Rylance
Bridge of Spies,Alan Alda
Bridge of Spies,Amy Ryan
The Lego Movie,Chris Pratt
The Lego Movie,Will Ferrell
The Lego Movie,Elizabeth Banks
The Lego Movie,Will Arnett
Everest,Jason Clarke
Everest,Ang Phula Sherpa
Everest,Thomas M. Wright
Everest,Martin Henderson
Pixels,Adam Sandler
Pixels,Kevin James
Pixels,"Michelle Monaghan,Peter Dinklage"
Robin Hood,Russell Crowe
Robin Hood,Cate Blanchett
Robin Hood,"Matthew Macfadyen,Max von Sydow"
The Wolverine,Hugh Jackman
The Wolverine,Will Yun Lee
The Wolverine,Tao Okamoto
The Wolverine,Rila Fukushima
John Carter,Taylor Kitsch
John Carter,Lynn Collins
John Carter,"Willem Dafoe,Samantha Morton"
Keanu,Keegan-Michael Key
Keanu,Jordan Peele
Keanu,"Tiffany Haddish,Method Man"
The Gunman,Sean Penn
The Gunman,Idris Elba
The Gunman,Jasmine Trinca
The Gunman,Javier Bardem
Steve Jobs,Michael Fassbender
Steve Jobs,Kate Winslet
Steve Jobs,Seth Rogen
Steve Jobs,Jeff Daniels
Whisky Galore,Tim Pigott-Smith
Whisky Galore,Naomi Battrick
Whisky Galore,"Ellie Kendrick,James Cosmo"
Grown Ups 2,Adam Sandler
Grown Ups 2,Kevin James
Grown Ups 2,Chris Rock
Grown Ups 2,David Spade
The Age of Adaline,Blake Lively
The Age of Adaline,Michiel Huisman
The Age of Adaline,"Harrison Ford,Kathy Baker"
The Incredible Hulk,Edward Norton
The Incredible Hulk,Liv Tyler
The Incredible Hulk,Tim Roth
The Incredible Hulk,William Hurt
Couples Retreat,Vince Vaughn
Couples Retreat,Malin Akerman
Couples Retreat,Jon Favreau
Couples Retreat,Jason Bateman
Absolutely Anything,Simon Pegg
Absolutely Anything,Kate Beckinsale
Absolutely Anything,Sanjeev Bhaskar
Absolutely Anything,Rob Riggle
Magic Mike,Channing Tatum
Magic Mike,Alex Pettyfer
Magic Mike,"Olivia Munn,Matthew McConaughey"
Minions,Sandra Bullock
Minions,Jon Hamm
Minions,Michael Keaton
Minions,Pierre Coffin
The Black Room,Natasha Henstridge
The Black Room,Lukas Hassel
The Black Room,"Lin Shaye,Dominique Swain"
Bronson,Tom Hardy
Bronson,Kelly Adams
Bronson,"Luing Andrews,Katy Barker"
Despicable Me,Steve Carell
Despicable Me,Jason Segel
Despicable Me,Russell Brand
Despicable Me,Julie Andrews
The Best of Me,James Marsden
The Best of Me,Michelle Monaghan
The Best of Me,"Luke Bracey,Liana Liberato"
The Invitation,Logan Marshall-Green
The Invitation,Emayatzy Corinealdi
The Invitation,Michiel Huisman
The Invitation,Tammy Blanchard
Zero Dark Thirty,Jessica Chastain
Zero Dark Thirty,Joel Edgerton
Zero Dark Thirty,Chris Pratt
Zero Dark Thirty,Mark Strong
Tangled,Mandy Moore
Tangled,Zachary Levi
Tangled,Donna Murphy
Tangled,Ron Perlman
The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence
The Hunger Games: Mockingjay - Part 2,Josh Hutcherson
The Hunger Games: Mockingjay - Part 2,Liam Hemsworth
The Hunger Games: Mockingjay - Part 2,Woody Harrelson
Vacation,Ed Helms
Vacation,Christina Applegate
Vacation,Skyler Gisondo
Vacation,Steele Stebbins
Taken,Liam Neeson
Taken,Maggie Grace
Taken,Famke Janssen
Taken,Leland Orser
Pitch Perfect 2,Anna Kendrick
Pitch Perfect 2,Rebel Wilson
Pitch Perfect 2,"Hailee Steinfeld,Brittany Snow"
Monsters University,Billy Crystal
Monsters University,John Goodman
Monsters University,Steve Buscemi
Monsters University,Helen Mirren
Elle,Isabelle Huppert
Elle,Laurent Lafitte
Elle,"Anne Consigny,Charles Berling"
Mechanic: Resurrection,Jason Statham
Mechanic: Resurrection,Jessica Alba
Mechanic: Resurrection,"Tommy Lee Jones,Michelle Yeoh"
Tusk,Justin Long
Tusk,Michael Parks
Tusk,"Haley Joel Osment,Genesis Rodriguez"
The Headhunter's Calling,Alison Brie
The Headhunter's Calling,Gerard Butler
The Headhunter's Calling,Willem Dafoe
The Headhunter's Calling,Gretchen Mol
Atonement,Keira Knightley
Atonement,James McAvoy
Atonement,"Brenda Blethyn,Saoirse Ronan"
Harry Potter and the Deathly Hallows: Part 1,Daniel Radcliffe
Harry Potter and the Deathly Hallows: Part 1,Emma Watson
Harry Potter and the Deathly Hallows: Part 1,Rupert Grint
Harry Potter and the Deathly Hallows: Part 1,Bill Nighy
